2017-05-15 17:47:09 [ main:0 ] - [ INFO ] Spider www.toutiao.com started!
2017-05-15 17:47:09 [ pool-1-thread-1:2 ] - [ INFO ] downloading page http://www.toutiao.com/api/pc/feed/?category=news_hot&utm_source=toutiao&widen=1&max_behot_time=0&max_behot_time_tmp=0&tadrequire=true&as=A1E559112451042&cp=5914511014B23E1
2017-05-15 17:47:09 [ pool-1-thread-1:639 ] - [ WARN ] Charset autodetect failed, use UTF-8 as charset. Please specify charset in Site.setCharset()
2017-05-15 17:47:10 [ pool-1-thread-1:665 ] - [ ERROR ] invalid path>>>> {"comment_count":0,"label_style":3,"source_icon_style":3,"aggr_type":1,"source":"钱坤股票","behot_time":1494839829,"cell_flag":10,"source_url":"http:\/\/dytz.dyjr88.com\/template\/html\/1e\/590157d25c61e.html","is_feed_ad":true,"publish_time":1493263876,"tag_id":6413519513735659777,"tip":0,"tag":"ad","large_image_list":[],"read_count":59448,"user_verified":0,"level":0,"ad_label":"广告","article_alt_url":"http:\/\/toutiao.com\/group\/article\/6413519513735659777\/","has_m3u8_video":0,"natant_level":2,"user_repin":0,"ad_id":59493695397,"item_version":0,"digg_count":0,"ignore_web_transform":1,"share_url":"http:\/\/toutiao.com\/group\/6413519513735659777\/?iid=0&app=news_article","article_genre":"ad","cursor":1494839829999,"display_url":"http:\/\/dytz.dyjr88.com\/template\/html\/1e\/590157d25c61e.html","gallary_image_count":3,"cell_layout_style":1,"display_info":"万万没想到，本地居然有这么好的微信投资交流平台","title":"万万没想到，北京居然有这么好的微信投资交流平台","hot":0,"has_video":false,"log_extra":"{\"rit\": 1, \"convert_id\": 0, \"req_id\": \"20170515174709172017037002512EFA\", \"ad_price\": \"WRdluAAMce1ZF2W4AAxx7XCSIs7OEHCUcaybRw\"}","ban_comment":1,"article_sub_type":0,"has_image":false,"bury_count":0,"preload_web":0,"cell_type":0,"verified_content":"","more_mode":true,"article_type":1,"action_list":[{"extra":{},"action":1,"desc":""},{"extra":{},"action":3,"desc":""},{"extra":{},"action":7,"desc":""},{"extra":{},"action":9,"desc":""}],"item_id":6413519513735659777,"source_open_url":"sslocal:\/\/search?from=channel_source&keyword=%E9%92%B1%E5%9D%A4%E8%82%A1%E7%A5%A8","abstract":"","label":"广告","article_url":"http:\/\/dytz.dyjr88.com\/template\/html\/1e\/590157d25c61e.html","url":"http:\/\/dytz.dyjr88.com\/template\/html\/1e\/590157d25c61e.html","filter_words":[{"is_selected":false,"name":"金融保险","id":"1:6"},{"is_selected":false,"name":"股票","id":"1:74"},{"is_selected":false,"name":"来源:钱坤股票","id":"2:0"},{"is_selected":false,"name":"看过了","id":"4:2"}],"group_id":"6413519513735659777","has_mp4_video":0,"middle_image":{},"video_style":0,"tag_url":"search\/?keyword=None","has_gallery":true,"expire_seconds":314212117,"single_mode":false,"image_list":[{"url_list":[{"url":"http:\/\/p3.pstatp.com\/list\/1db100153cb5e34506f1"},{"url":"http:\/\/pb9.pstatp.com\/list\/1db100153cb5e34506f1"},{"url":"http:\/\/pb1.pstatp.com\/list\/1db100153cb5e34506f1"}],"width":228,"uri":"list\/1db100153cb5e34506f1","pc_url":"http:\/\/p3.pstatp.com\/list\/190x124\/1db100153cb5e34506f1","url":"http:\/\/p3.pstatp.com\/list\/190x124\/1db100153cb5e34506f1","height":128},{"url_list":[{"url":"http:\/\/p3.pstatp.com\/list\/1c1b0019c0c03c86dfd4"},{"url":"http:\/\/pb9.pstatp.com\/list\/1c1b0019c0c03c86dfd4"},{"url":"http:\/\/pb1.pstatp.com\/list\/1c1b0019c0c03c86dfd4"}],"width":228,"uri":"list\/1c1b0019c0c03c86dfd4","pc_url":"http:\/\/p3.pstatp.com\/list\/190x124\/1c1b0019c0c03c86dfd4","url":"http:\/\/p3.pstatp.com\/list\/190x124\/1c1b0019c0c03c86dfd4","height":128},{"url_list":[{"url":"http:\/\/p1.pstatp.com\/list\/1dd4000d35707f147306"},{"url":"http:\/\/pb3.pstatp.com\/list\/1dd4000d35707f147306"},{"url":"http:\/\/pb9.pstatp.com\/list\/1dd4000d35707f147306"}],"width":228,"uri":"list\/1dd4000d35707f147306","pc_url":"http:\/\/p1.pstatp.com\/list\/190x124\/1dd4000d35707f147306","url":"http:\/\/p1.pstatp.com\/list\/190x124\/1dd4000d35707f147306","height":128}]}
2017-05-15 17:47:11 [ pool-1-thread-1:1671 ] - [ INFO ] downloading page http://www.toutiao.com/a6419981716484555010/
2017-05-15 17:47:11 [ pool-1-thread-2:1674 ] - [ INFO ] downloading page http://www.toutiao.com/c/user/4377795668/
2017-05-15 17:47:12 [ pool-1-thread-1:3003 ] - [ INFO ] downloading page http://www.toutiao.com/c/user/5806115967/
2017-05-15 17:47:20 [ pool-1-thread-2:10658 ] - [ INFO ] downloading page http://www.toutiao.com/a6420224996764811777/
2017-05-15 17:47:22 [ pool-1-thread-1:12653 ] - [ INFO ] downloading page http://www.toutiao.com/c/user/4492956276/
2017-05-15 17:47:22 [ pool-1-thread-2:12661 ] - [ INFO ] downloading page http://www.toutiao.com/a6419994788703551746/
2017-05-15 17:47:23 [ pool-1-thread-2:14060 ] - [ INFO ] downloading page http://www.toutiao.com/a6419999194781614337/
